car,move
V,-1
A,-1
Y,-1
AK,1
L,1
Y,1
R,-1
Y,-1
AH,2
A,1
AD,-3
B,-1
R,-1
AI,-3
B,1
AB,-1
AE,-3
U,4
AE,3
M,-2
F,-1
P,-2
F,1
L,-1
AE,-3
N,5
L,1
T,-2
AA,-1
AK,-1
AC,2
AN,-1
N,-5
R,1
P,2
Y,1
AA,1
W,1
B,-1
AC,-2
R,-1
AK,1
AM,1
AB,1
AM,-1
AI,2
P,-2
AN,1
AF,1
AI,-2
X,10
